329.00 	181.88 	-181.88 
330.00 	183.77 	-183.77 
331.00 	185.60 	-185.60 
332.00 	187.37 	-187.37 
333.00 	189.09 	-189.09 
334.00 	190.75 	-190.75 
335.00 	192.35 	-192.35 
336.00 	193.89 	-193.89 
337.00 	195.38 	-195.38 
338.00 	196.80 	-196.80 
339.00 	198.17 	-198.17 
340.00 	199.47 	-199.47 
341.00 	200.71 	-200.71 
342.00 	201.89 	-201.89 
343.00 	203.02 	-203.02 
344.00 	204.07 	-204.07 
345.00 	205.07 	-205.07 
346.00 	206.00 	-206.00 
347.00 	206.88 	-206.88 
348.00 	207.68 	-207.68 
349.00 	208.43 	-208.43 
350.00 	209.11 	-209.11 
351.00 	209.73 	-209.73 
352.00 	210.28 	-210.28 
353.00 	210.77 	-210.77 
354.00 	211.20 	-211.20 
355.00 	211.56 	-211.56 
356.00 	211.86 	-211.86 
357.00 	212.09 	-212.09 
358.00 	212.26 	-212.26 
359.00 	212.36 	-212.36 
360.00 	212.40 	-212.40 
